"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"01/15/2026","01/15/2026","01/16/2026","SPY","SPY 01/17/2026 Call $485.00","BTO","1","$1.42","($142.04)"
"01/16/2026","01/16/2026","01/17/2026","SPY","SPY 01/17/2026 Call $485.00","STC","1","$2.05","$204.95"

"01/14/2026","01/14/2026","01/15/2026","QQQ","QQQ 01/24/2026 Put $398.00","BTO","2","$1.10","($220.08)"
"01/17/2026","01/17/2026","01/18/2026","QQQ","QQQ 01/24/2026 Put $398.00","STC","1","$1.45","$144.95"

"01/10/2026","01/10/2026","01/10/2026","","Interest Payment","INT","","","$1.32"

"01/08/2026","01/08/2026","01/08/2026","","External debit card transfer","DCF","","","$250.00"
"01/09/2026","01/09/2026","01/09/2026","","External debit card transfer - withdrawal fee","DCF","","","($2.50)"

"01/06/2026","01/06/2026","01/07/2026","AAPL","AAPL 01/31/2026 Call $195.00","BTO","1","$3.25","($325.04)"
"01/13/2026","01/13/2026","01/14/2026","AAPL","AAPL 01/31/2026 Call $195.00","STC","1","$4.10","$409.95"

"01/05/2026","01/05/2026","01/05/2026","NTSK","Stock Lending","SLIP","","","$0.03"

"01/03/2026","01/03/2026","01/06/2026","MSFT","MSFT 01/17/2026 Put $360.00","BTO","1","$2.75","($275.04)"
"01/07/2026","01/07/2026","01/08/2026","MSFT","MSFT 01/17/2026 Put $360.00","STC","1","$1.90","$189.95"
